Accession	BSF	PCF
Tb927.6.1862	0	0
Tb927.10.5900	102.5096	106.5558
Tb927.3.4940	31.0705	41.5287
Tb927.8.710	70.319	107.3994
Tb09.211.2740	220.7542	203.4114
Tb927.4.1350	58.942	67.8372
Tb09.160.1720	15.9587	11.2913
Tb927.3.1560	39.3324	39.4709
Tb927.10.4380	3.8893	0.2965
Tb09.160.3300	0	0
Tb927.6.2800	36.4592	23.8573
Tb927.3.1940	56.0707	120.5324
Tb927.1.3360	0	0
Tb927.10.14980	72.1987	72.6146
Tb11.57.0045	0	0
Tb09.142.0320	21.0255	0.7241
Tb927.10.1960	23.9594	40.0989
Tb09.244.2790	46.5814	68.6581
Tb09_SLRNA_0018	0	0
Tb927.1.5330	0	0
Tb927.2.450	107.737	108.0234
Tb09.v4.0094	0	0
Tb927.7.6170	35.7582	30.9094
Tb927.5.1870	62.7474	41.4107
Tb927.7.3310	41.9104	34.6983
Tb927.10.5080	78.7914	53.3575
Tb09.354.0040	0	0
Tb11.01.8820	35.3784	71.0949
Tb09.160.4620	43.4943	35.5687
Tb927.5.3380	48.6551	44.0108
Tb927.3.3670	27.0698	59.6628
Tb11.52.0009	38.7014	34.6304
Tb11.1770	0	0
Tb927.7.2750	69.7333	85.5615
Tb09.244.0790	0	0
Tb927.10.610	36.1147	36.6738
Tb927.8.1389	0	0
Tb11.47.0008	41.494	59.6896
Tb927.7.970	59.8142	148.331
Tb927.8.7050	44.7817	31.6425
Tb927.3.1350	31.4783	72.8136
Tb927.6.3140	101.9233	98.7988
Tb927.4.1280	68.8837	71.9803
Tb09.142.0250	0	0
Tb927.4.3290	0.1872	0.3432
Tb09.v4.0128	0	0
Tb09.354.0130	0	0
Tb927.5.2220	0	0
Tb09.211.4370	64.7517	84.0741
Tb09.160.3160	47.523	63.1923
Tb927.8.3580	33.9631	49.6379
Tb927.3.3450	495.201	213.4508
Tb927.8.2254	0	0
Tb927.2.660	1.0581	0.9685
Tb927.10.12250	31.0832	32.1374
Tb927.5.4360	3.9646	4.0271
Tb11.02.0370	9.4346	9.7469
Tb09.160.4040	17.2867	26.723
Tb927.3.2520	0.9848	0
Tb11.01.6470	238.498	110.9014
Tb927.8.4560	23.2604	26.6036
Tb927.10.3170	37.4233	45.1612
Tb11.01.3780	20.5031	59.1199
Tb11.14.0023	0	0
Tb927.7.720	11.7961	19.1582
Tb11.1520	0	0
Tb927.8.7820	24.1006	10.7579
Tb927.5.250	0	0
Tb09.142.0230	0	0
Tb927.3.5100	35.7728	38.1832
Tb11_snoRNA_0024	0	0
Tb11.03.0475	144.053	378.8088
Tb11.01.3960	65.2535	85.2451
Tb927.8.1605	0	0
Tb10.v4.0264	0	0
Tb11.01.5280	69.3588	116.7633
Tb927.10.4330	0	0
Tb11.01.1740	97.2443	255.3701
Tb11.01.1490	28.685	22.0788
Tb927.4.2390	69.1456	80.4581
Tb11.01.2320	27.8221	31.7598
Tb927.4.390	48.4705	44.8907
Tb11_snoRNA_0015	0	0
Tb927.5.1770	128.2675	92.7852
Tb927.7.420	1.5798	0.2409
Tb10.v4.0095	0	0
Tb927.7.3330	12.7916	21.089
Tb11.01.6050	39.2085	37.4934
Tb927.10.14020	52.3399	43.8728
Tb11_snoRNA_0045	77.1776	208.3343
Tb927.3.5470	49.1215	50.4575
Tb927.7.6600	103.4632	24.1682
Tb09.244.0660	0	0
Tb09.160.0260	0	0
Tb927.6.3150	21.3547	27.0724
Tb927.8.6320	26.5361	34.9605
Tb927.4.3230	0	0
Tb09.160.3330	15.1258	21.1425
Tb11.01.5450	29.1628	58.8343
Tb927.1.2390	0	0
Tb09.v2.0190	0	0
Tb927.5.4590	0.9768	0.4468
Tb927.3.3429	0	0
Tb927.7.3830	6.0203	13.7363
Tb11.02.0060	64.4099	24.4414
Tb09.v4.0126	0	0
Tb927.10.1570	148.746	478.3221
Tb927.10.14510	53.1222	48.9206
Tb11.02.2040	568.258	268.571
Tb927_09_v4.snoRNA.0097	0	0
Tb09.211.0360	27.2237	29.8674
Tb927.10.9190	158.5158	214.8352
Tb09.160.2900	40.6731	39.8614
tryp_IXb-6d06.q1c.snoRNA.0006	3.0751	2.8156
Tb927.10.10350	36.4065	38.9849
Tb11.44.0006	0	0
Tb927.4.140	0	0.9287
Tb927.8.1370	38.2416	39.2711
Tb927.4.3199	0	0
Tb927.1.3020	8.3918	8.6768
Tb09.160.3140	36.034	91.562
Tb09_snoRNA_0112	0	0
tryp_X-68d04.q1c.snoRNA.0006	0	0
Tb927.8.1606	0	0
Tb927.10.14140	1706.1467	394.1114
Tb927.10.12390	89.8219	31.8244
Tb927.10.3830	593.6314	457.9305
Tb927.4.5690	0	0
Tb11.01.7760	38.1463	52.6306
Tb927.10.11630	31.0518	59.299
Tb09.160.0045	0	0
Tb927.10.2190	220.8175	246.0021
Tb11.42.0002	68.9257	55.0893
Tb11.55.0012	33.0242	36.5749
Tb09.160.2600	0	0
Tb11.03.0550	38.696	28.1624
Tb09.211.4511	69.7732	34.443
Tb927.10.10590	0	0
Tb927.8.2470	148.1183	198.6217
Tb927.7.2540	85.3888	69.4777
Tb11.02.0670	51.0172	52.9875
Tb09.211.4440	22.6673	26.9859
Tb09.211.1980	30.5747	19.1602
Tb927.8.1450	33.3487	32.3179
Tb927_11_01_v4.snoRNA.0009	24.5817	89.2324
Tb09.160.2630	29.9351	26.6358
Tb11.01.7950	41.3021	40.4126
Tb927_10_v4.snoRNA.0043:snoRNA	0	0
Tb927.1.4090	39.8135	133.8486
Tb11.02.0352	56.0801	52.0376
Tb927.8.3880	26.2216	10.2843
Tb927.1.2090	10.5121	8.8298
Tb11.52.0002	14.4248	22.8942
Tb09.v1.0160	3.227	2.7085
tmp.1.50	0	0
Tb927.7.5340	39.2584	70.1723
Tb927.7.2310	49.1875	50.1589
Tb11.1840	0	0
Tb09.160.5040	21.294	24.2286
Tb11.15.0002	0	0
Tb11.48.0003	0	0
Tb927.3.4390	37.1115	44.844
Tb927.3.3570	36.5251	29.2702
Tb927.4.3720	43.0839	41.4065
Tb927.3.4060	19.9174	27.7759
Tb11.0810	0	0
Tb927.10.2540	55.0766	41.3235
Tb11.57.0084	0	0
Tb927.7.3750	180.3463	190.0733
Tb06.3A7.270	20.0973	29.041
